2017-09-17 17:36:17,511 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-17 17:36:17,513 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:17,513 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-17 17:36:17,835 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common-clock:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common-clock\pom.xml.
2017-09-17 17:36:18,613 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:18,614 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-17 17:36:18,617 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:18,617 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-17 17:36:18,808 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common-gpu:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common-gpu\pom.xml.
2017-09-17 17:36:19,540 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:19,541 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2017-09-17 17:36:19,575 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:19,575 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-17 17:36:20,598 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common-gui:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common-gui\pom.xml.
2017-09-17 17:36:20,602 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-model:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:20,828 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee-gui:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee-gui\pom.xml.
2017-09-17 17:36:20,830 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-autoreferee:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:20,837 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:sumatra-gui-visualizer:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:20,934 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee-main:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee-main\pom.xml.
2017-09-17 17:36:20,936 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-timer:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:20,944 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-referee:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:20,952 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-wp-kalman:jar:1.0 is missing, no dependency information available
